Run Fitness1 Solution1 Fitness2 Solution2
0 49.0 080007021 49.0 080007021
0 49.0 080007021 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.3 000015015
0 41.3 000015015 41.0 020015012
0 41.0 020015012 25.8 010012013
0 25.8 010012013 25.8 010012013
0 25.8 010012013 25.8 010012013
0 25.8 010012013 25.8 010012013
0 25.8 010012013 25.8 010012013
0 25.8 010012013 25.8 010012013
0 25.8 010012013 25.8 010012013
0 25.8 010012013 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
0 21.0 000011014 21.0 000011014
